COSMIC_SAMPLE_ID	SAMPLE_NAME	COSMIC_GENE_ID	GENE_SYMBOL	GENE_EXPRESSION
COSS683665	MC-CAR	COSG9371	A1BG	-0.430
COSS683665	MC-CAR	COSG46891	A1CF	-0.860
COSS683665	MC-CAR	COSG1992	A2M	1.070
COSS683665	MC-CAR	COSG4693	A2ML1	0.420
COSS683665	MC-CAR	COSG1344	A3GALT2	2.740
COSS683665	MC-CAR	COSG148	A4GALT	-0.880
COSS683665	MC-CAR	COSG11930	A4GNT	-0.470
COSS683665	MC-CAR	COSG28946	AAAS	0.920
COSS683665	MC-CAR	COSG54471	AACS	-0.450
COSS683665	MC-CAR	COSG32358	AACSP1	1.910
COSS683665	MC-CAR	COSG53030	AADAC	-1.400
COSS683665	MC-CAR	COSG24459	AADACL2	1.740
COSS683665	MC-CAR	COSG55380	AADACL3	-1.810
COSS683665	MC-CAR	COSG15957	AADACL4	0.350
COSS683665	MC-CAR	COSG48128	AADAT	-0.460
COSS683665	MC-CAR	COSG34756	AAGAB	-0.680
COSS683665	MC-CAR	COSG2205	AAK1	3.220
COSS683665	MC-CAR	COSG50552	AAMDC	-2.590
COSS683665	MC-CAR	COSG34624	AAMP	-1.800
COSS683665	MC-CAR	COSG8576	AANAT	1.660
COSS683665	MC-CAR	COSG27280	AAR2	-0.390
COSS683665	MC-CAR	COSG45470	AARD	1.020
COSS683665	MC-CAR	COSG20760	AARS	-1.190
COSS683665	MC-CAR	COSG7250	AARS2	0.100
COSS683665	MC-CAR	COSG42490	AASDH	-0.210
COSS683665	MC-CAR	COSG39538	AASDHPPT	-0.910
COSS683665	MC-CAR	COSG57273	AASS	-0.790
COSS683665	MC-CAR	COSG7564	AATF	0.720
COSS683665	MC-CAR	COSG54459	AATK	-1.640
COSS683665	MC-CAR	COSG3309	ABAT	-0.890
COSS683665	MC-CAR	COSG34997	ABCA1	-1.070
COSS683665	MC-CAR	COSG53727	ABCA10	0.750
COSS683665	MC-CAR	COSG53071	ABCA12	3.010
COSS683665	MC-CAR	COSG51106	ABCA13	1.200
COSS683665	MC-CAR	COSG2369	ABCA2	-0.150
COSS683665	MC-CAR	COSG47209	ABCA3	-1.520
COSS683665	MC-CAR	COSG28166	ABCA4	2.100
COSS683665	MC-CAR	COSG4426	ABCA5	0.800
COSS683665	MC-CAR	COSG47774	ABCA6	4.750
COSS683665	MC-CAR	COSG45826	ABCA7	-0.530
COSS683665	MC-CAR	COSG28345	ABCA8	2.030
COSS683665	MC-CAR	COSG41910	ABCA9	0.750
COSS683665	MC-CAR	COSG1887	ABCB1	2.060
COSS683665	MC-CAR	COSG1977	ABCB10	0.590
COSS683665	MC-CAR	COSG44441	ABCB11	-3.510
COSS683665	MC-CAR	COSG39472	ABCB4	1.840
COSS683665	MC-CAR	COSG41210	ABCB5	1.800
COSS683665	MC-CAR	COSG21640	ABCB7	1.780
COSS683665	MC-CAR	COSG47053	ABCB8	-1.260
COSS683665	MC-CAR	COSG4976	ABCB9	-0.550
COSS683665	MC-CAR	COSG35557	ABCC1	-0.330
COSS683665	MC-CAR	COSG28199	ABCC10	-1.490
COSS683665	MC-CAR	COSG8233	ABCC11	1.640
COSS683665	MC-CAR	COSG15898	ABCC12	1.080
COSS683665	MC-CAR	COSG5344	ABCC13	1.350
COSS683665	MC-CAR	COSG45551	ABCC2	-2.600
COSS683665	MC-CAR	COSG13254	ABCC3	-1.050
COSS683665	MC-CAR	COSG49516	ABCC4	1.190
COSS683665	MC-CAR	COSG24161	ABCC5	-1.500
COSS683665	MC-CAR	COSG48771	ABCC6	1.950
COSS683665	MC-CAR	COSG52897	ABCC6P1	-2.350
COSS683665	MC-CAR	COSG17160	ABCC8	1.590
COSS683665	MC-CAR	COSG57134	ABCC9	1.620
COSS683665	MC-CAR	COSG38171	ABCD1	-0.720
COSS683665	MC-CAR	COSG55420	ABCD2	2.460
COSS683665	MC-CAR	COSG16035	ABCD3	0.210
COSS683665	MC-CAR	COSG6335	ABCD4	-0.750
COSS683665	MC-CAR	COSG930	ABCE1	2.780
COSS683665	MC-CAR	COSG35268	ABCF1	0.840
COSS683665	MC-CAR	COSG48634	ABCF2	0.710
COSS683665	MC-CAR	COSG8323	ABCG1	-0.670
COSS683665	MC-CAR	COSG55094	ABCG2	-0.460
COSS683665	MC-CAR	COSG54715	ABCG4	0.300
COSS683665	MC-CAR	COSG31978	ABCG5	1.100
COSS683665	MC-CAR	COSG32260	ABCG8	1.980
COSS683665	MC-CAR	COSG25144	ABHD1	-7.080
COSS683665	MC-CAR	COSG48554	ABHD10	0.820
COSS683665	MC-CAR	COSG15724	ABHD11	-0.780
COSS683665	MC-CAR	COSG5208	ABHD11-AS1	0.670
COSS683665	MC-CAR	COSG42245	ABHD12	-0.800
COSS683665	MC-CAR	COSG43799	ABHD12B	1.850
COSS683665	MC-CAR	COSG43746	ABHD13	-0.300
COSS683665	MC-CAR	COSG46580	ABHD15	-0.600
COSS683665	MC-CAR	COSG32255	ABHD16B	-0.100
COSS683665	MC-CAR	COSG34404	ABHD17B	1.970
COSS683665	MC-CAR	COSG51695	ABHD17C	-1.800
COSS683665	MC-CAR	COSG32315	ABHD18	1.060
COSS683665	MC-CAR	COSG15838	ABHD2	1.000
COSS683665	MC-CAR	COSG34921	ABHD3	-0.030
COSS683665	MC-CAR	COSG37118	ABHD4	-0.050
COSS683665	MC-CAR	COSG24923	ABHD5	0.180
COSS683665	MC-CAR	COSG31566	ABHD6	1.490
COSS683665	MC-CAR	COSG26195	ABHD8	-0.450
COSS683665	MC-CAR	COSG5120	ABI1	1.860
COSS683665	MC-CAR	COSG49027	ABI2	-0.620
COSS683665	MC-CAR	COSG39720	ABI3	4.720
COSS683665	MC-CAR	COSG17313	ABI3BP	-1.900
COSS683665	MC-CAR	COSG4968	ABL1	-1.630
COSS683665	MC-CAR	COSG36573	ABL2	-2.060
